expid	dtstart	dtend	role	organization	location	skills_khow	skills_tools	skills_ctual	description	summary	shortsummary
aalto-mth	2018-04-25	2019-06-28	Master’s Thesis Worker	DICIA Research Group, Department of Industrial Engineering and Management, Aalto University	Helsinki Area	digital platforms, strategy, venturing, ambidexterity, intrapreneurship, innovation, quantitative research, qualitative research, project management, systematic combining	Python, pandas, matplotlib, LaTeX, tikz, pgfplots, LibreOffice Writer, LibreOffice Writer Calc, GnuPG		"I studied the digital disruption of the interpretation industry and developed a strategy for a recent platform-based venture. My thesis was part of the DICIA research project led by Aalto Department of Industrial Engineering and Management. The thesis is titled *“Digitalization of Language Services: A Strategy for a Remote Interpretation Spin-Off“*.

The work involved a) a study of the venture; b) a quantitative analysis of its platform transaction database; c) a desktop study of the language services industry and language technology; d) a qualitative research of the interpretation industry in Finland (including 19 semi-structured interviews and 2 focus group discussions); e) an analysis of the past and future evolution of the remote interpretation industry; f) the development of a comprehensive strategy based on a competitive strategy framework for digital platform-based startups.

Professor Ilkka Kauranen supervised my thesis work and awarded it the grade 4/5.

Metadata of the thesis is available at [AaltoDoc](https://aaltodoc.aalto.fi/handle/123456789/39098)."	Developing a strategy for a venture in the remote-video interpretation industry	Doing my Master’s Thesis
aalto-msc	2017-09-01	2019-06-28	Master’s Student	Department of Industrial Engineering and Management, Aalto University	Helsinki Area	"strategic management, operations management, project management, venturing, entrepreneurial marketing,
sales management, leadership, statistical analysis, machine learning, operations research, strategy research, French, Swedish"	LaTeX, LibreOffice Writer, LibreOffice Calc, Google suite, Microsoft Powerpoint, Minitabs, Atlas.TI, Python, Pandas, Numpy, Gringo, R, Octave, Maxima, Zim Wiki, Google Drive, Office365, C		"I completed the Master’s Programme in Industrial Engineering and Management in the major of Strategy and Venturing with the minor of Data Science and Analytics. My major studies (47 ECTS; grade 5/5) gave me broad understanding and knowhow in relation to the strategic management of both established and new businesses. My minor studies (22 ECTS; grade 4/5) gave me broad understanding and knowhow in relation to statistical analysis, operations research, artificial intelligence and associated computational methodologies. My degree also included studies (26 ECTS; grade 5/5) on leadership, project-based management, entrepreneurship, sales, software development and language courses in French and Swedish. Note that my Master’s Thesis, which was also a part of my degree (30 ECTS), is described [separately](#aalto-mth).

I completed the degree with honours (GPA 4.40/5.00) and I also received the Dean’s Incentive Scholarship for my fast pace of study attainment.

During my studies at Aalto I accumulated a total of 345 ECTS which shows that I studied and even completed a lot of courses in addition to those required by my degrees. These included courses for example on entrepreneurial marketing, data structures and algorithms, corporate finance, and the conceptual prerequisites for attaining the Lean Six Sigma Green Belt."	Studying strategy, venturing, data science and analytics at Aalto	Master’s Degree
aalto-smoti-ca	2018-09-01	2019-05-31	Course Assistant	Department of Industrial Engineering and Management, Aalto University	Helsinki Area	service operations, project management, communication, teaching, strategic management, technology management, innovation management	LibreOffice Writer, LibreOffice Calc, Python, MyCourses, office tools		"I helped Professor Ilkka Kauranen plan, prepare and deliver a course titled “Strategic Management of Technology and Innovation“ which is an advanced strategy course in which students are trained to convert findings from renowned research publications into actionable insight for specific corporate audiences. On the side I was the Responsible Supervisor for 9 and Co-Supervisor for 3 university exams.

Please check the separate [experience report](/posts/2019-09-04-aalto-ca-smoti) I wrote to analyze the learning experience."	Assisting in the development and delivery of a strategic management course	Course Assistant
aalto-asc	2016-10-01	2019-04-31	Agile Scrum Coach	Department of Computer Science and Engineering, Aalto University	Helsinki Area	coaching, Scrum, agile process and project management, software engineering practices, software projects, teamwork, leadership	Agilefant, JIRA, Azure DevOps, Taiga.io, Trello, Flowdock, Slack, Telegram, WhatsApp, Git, GitHub, GitLab, BitBucket, Google Drive, Google Hangouts, MyCourses, email, Bash, LibreOffice Calc, LibreOffice Impress, Python, pandas, bokeh		"I coached and evaluated a total of 7 teams of 6-9 students to successfully learn to execute Scrum and agile software development practices in six month capstone projects for corporate clients organized by Aalto University Department of Computer Science. My objectives during these projects have been a) to contribute to the success of the project, b) to ensure all stakeholders learn to understand and apply Scrum, and c) to evaluate and grade the performance of the teams.

Please check the separate and rather insightful [experience report](/posts/2019-05-08-aalto-asc/) I wrote to analyze the learning experience!"	Coaching several large student teams to succeed in agile software projects	Coaching several large student teams to succeed in agile software projects
aalto-asm-tm	2018-10-08	2018-10-18	Team Member	Department of Industrial Engineering and Management, Aalto University	Helsinki Area	strategic management, strategic analysis, digital strategy, retail sector, market analysis	Google Drive, Google Sheets, Google Slides		"The final two weeks of the course ""Advanced Strategic Management"" (5 cr) involved a competition in which the students were divided into 14 teams of 4-5 students and each team was assigned one of seven publicly traded Finnish companies. Each team was to develop a strategic analysis and recommendations relating to the digital transformation of the company and its competitive environment to be submitted for the strategy directors of the respective companies. Our team's work was deemed by the jury as the best and we were consequently rewarded by Accenture Strategy."	Co-producing the best strategy analysis in Digital Challenge	
sympower-da	2018-04-01	2018-07-31	Data Analyst	Sympower Oy	Turku Area (remote work)	computational statistics, data science, data visualization, energy load balancing, consulting	Python, Pandas, Numpy, Matplotlib		I converted big data into valuable and marketable knowledge for Sympower’s sales team in the field of industrial load balancing. They provided me a dataset with several hundred million datapoints, and a set of research questions and asked me to help answer them. I answered the questions by computing and producing various data tables and corresponding visualizations and explanations. I did all the work remotely and we collaborated exclusively via phone and email.	Converting big data into knowledge in the field of industrial load balancing	Converting big data into knowledge in the field of industrial load balancing
aalto-rsv-tm	2018-01-01	2018-05-01	Team Leader	Department of Industrial Engineering and Management, Aalto University		mergers and acquisitions, strategy research, research, data science, data analysis, computational statistics, reporting	R, Google Drive, Google Docs, Google Sheets, Google Hangout		"I led a mergers and acquisitions related research project that culminated in a report with the title ""The Effect of Long-term Institutional Shareholder on Acquisition Likelihood"". The project was done as part of the course ""Research Assignment in Strategy and Venturing"" (5 ECTS) included in my Aalto University Master’s Degree.

In the project we applied R to perform quantiative data analysis on several datasets, including eg. the SDC Platinum M&A data (2005-2015).

More information regarding the project is available in its [project repository](https://github.com/sjjsy/rsvma)."	Leading a quantitative research project related to mergers and acquisitions	
mafy-mc	2015-11-01	2017-12-31	Management Consultant	MAFY-valmennus	Helsinki Area	accounting, customer service, marketing, operations, organization and human resources development, recruiting, product and service development, strategy	Google suite, Libre Office, LaTeX, Python, Node.js, Angular2	GTD, Kanban, Effectuation	"I helped an entrepreneur scale his fast growing business by providing expert advice and assistance in a variety of tasks in different areas.

Originally they were seeking to hire a person for a full-time COO role. The fast growth of the business had led to a situation in which the CEO and majority owner of the company was increasingly short of time and thus felt a need for help running the firm. My analysis was such that they needed to make a broader leap of transformation to a [professional bureaucracy](https://en.wikipedia.org/wiki/Organizational_structure#Bureaucratic_structures) which relies less on the entrepreneur and more on hired professionals and organizational structures and processes. Thus we adopted a consultative relationship in which I collaborated with the entrepreneur, the future CEO and the Executive Assistant that we later hired to make this leap.

My work thus consisted of both high level work, such as organization development, human resources development, process development, and strategy, and practical work, such as accounting, customer service and process improvement work. Later as the transition was progressing well I started to also contribute significantly to their product development. I recruited new software developers and worked to improve the software development practices applied in the firm."	Helping an entrepreneur scale his fast growing edtech business	Helping an entrepreneur scale his fast growing edtech business
aalto-bsc	2008-07-04	2017-08-31	Bachelor’s Student	Department of Industrial Engineering and Management, Aalto University	Helsinki Area	mathematics, differential and integral calculus, matrix algebra, probability, physics, programming, philosophy, economics, industrial engineering, project management, work psychology, leadership, strategic management, marketing, managerial accounting, corporate finance, business analysis, operations management, knowledge management, game monetization design, data structures, algorithms, software design and modeling, web software development, software project management, database management, business law, law in digital society, optimization, French, Swedish	LaTeX, LibreOffice Writer, LibreOffice Calc, Google suite, Python, Java, Octave, Matlab, Maxima, Mathematica, Zim Wiki, Google Drive, Office365, Microsoft Excel, NetBeans		I completed the Bachelor’s Programme in Science and Technology in the major of Industrial Engineering and Management, minoring in Computer Science and Engineering. The degree consisted of general studies (62 ECTS), major studies (67 ECTS), minor studies (27 ECTS) and elective studies (25 ECTS).	Studying industrial management and computer science at Aalto	
aalto-sor-tm	2017-01-01	2017-05-26	Team Member	Fortum Spring		operations research, data science, data analysis, mathematical modelling, algorithm development, testing, energy disaggregation, project management, reporting	Python, Jupyter, Numpy, Pandas, Matplotlib, R		"Fortum Spring commissioned our team of four students to perform a research project in the context of the course ""Seminar on Case Studies in Operation Research"" (5 ECTS) included in my Aalto University Master’s Degree.

The topic of the research project was non-intrusive load monitoring (NILM) and energy disaggregation (ie. identifying specific energy consumers from aggregate energy consumption data). With our team we developed an advanced disaggregation algorithm, an unsupervised nonparametric factorial hidden Markov model (NFHMM), which is available in its own [repository](https://github.com/sjjsy/sor-nilm). We also developed a fork of the non-intrusive load monitoring toolkit (NILMTK) which is also available in its own [repository](https://github.com/sjjsy/nilmtk).

Please see the documentation at these repositories for further information!"	Co-developing an advanced algorithm for energy disaggregation research	
ofc-president	2013-01-01	2016-12-31	President	Otaniemi Fight Club	Helsinki Area	practical accounting, law, management, development and marketing of a sports association; event organizing, project management, leadership, web development, web marketing, website administration	GnuCash, Google Drive, Google Docs, Google Sheets, Google Hangout		" I led a martial arts association called Otaniemi Fight Club that operated under the Aalto University Student Association. Under my leadership we organized several courses in Muay Thai, Kickboxing and Brazilian Jiu Jitsu and regular weekly exercise sessions as well as other activities to let our members train and enjoy martial arts, improve their fitness and get to know other students with similar interests across cultural and/or academic boundaries.

I also established, developed and maintained the [website](https://github.com/sjjsy/ofcws) of the association during my tenure."	Leading the activities and board meetings of a sports association	
aalto-neronet	2015-10-01	2016-04-19	Scrum Master	Department of Computer Science and Engineering, Aalto University	Helsinki Area	agile project management, project management, leadership, software engineering, software development, cluster computing, deep learning	Python, PyQt4, Bash, GNU/Linux, Git, SSH, Slurm	Scrum	"I acted as a Scrum Master for a team of software development students to develop a framework called Neronet to facilitate the specification, submission, monitoring, control, analysis and management of many different computational experiments. The tool was designed to be used by computational researchers that have access to a computing cluster with several nodes accessible via SSH and SSH keys, such as Triton at Aalto University.

I have written documentation to describe the project at [the project repository in GitHub](https://github.com/sjjsy/neronet). Please check it for more info!"	Developing a distributed computing tool for neural networks research	Developing a distributed computing tool for neural networks research
aalto-omp-tm	2014-09-01	2015-02-22	Team Member	Fortum Power and Heat		operations analysis, geospatial data analysis, computational statistics, investment analysis, reporting	Python, Microsoft Excel, Matlab		"Fortum Power and Heat Oy commissioned our team of four students to perform a research project in the context of the course ""Operations Management Project"" (5 ECTS). We studied a specific service operations business, analyzed the current and potential future utilization of its fleet of service vehicles and developed recommendations to improve the efficiency and profitability of the business and to generate other benefits.
The work involved a computational analysis of a large amount of geospatial data (mostly from GPS data loggers installed into the vehicles of the fleet) using tools such as Python, Excel, and Matlab as well as regular net present value (NPV) analysis of various alternative investment opportunities."	Developing business improvement recommendations based on geospatial data analysis	
